subscription_id,account_id,plan_tier,is_trial,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,churn_flag,total_usage_count,total_usage_duration_secs,total_error_count,distinct_features_used,usage_records,activated_flag,referral_source,industry
S-8cec59,A-3c1a3f,Enterprise,False,2786,33432,monthly,True,True,63.0,26418.0,2.0,6.0,6.0,True,event,DevTools
S-0f6f44,A-9b9fe9,Pro,False,833,9996,monthly,True,False,36.0,6819.0,6.0,4.0,4.0,False,other,EdTech
S-51c0d1,A-659280,Enterprise,True,0,0,annual,False,False,25.0,13877.0,2.0,3.0,3.0,False,event,FinTech
S-f81687,A-e7a1e2,Enterprise,False,995,11940,monthly,True,True,65.0,22943.0,5.0,7.0,7.0,True,event,Cybersecurity
S-cff5a2,A-ba6516,Enterprise,False,5373,64476,monthly,True,False,0.0,0.0,0.0,0.0,0.0,False,ads,FinTech
S-4b9b13,A-fa2041,Pro,False,735,8820,monthly,True,False,49.0,12581.0,2.0,5.0,5.0,True,organic,HealthTech
S-dceac6,A-417d2f,Enterprise,False,796,9552,annual,True,False,33.0,13929.0,2.0,3.0,3.0,False,partner,Cybersecurity
S-8cad7b,A-5f2961,Basic,False,304,3648,annual,True,False,39.0,14245.0,2.0,2.0,3.0,False,partner,HealthTech
S-24796e,A-cc8c8f,Enterprise,False,4577,54924,annual,False,False,61.0,12773.0,3.0,6.0,6.0,True,ads,DevTools
S-d0c344,A-80eeb6,Pro,False,1078,12936,annual,False,False,67.0,24269.0,8.0,7.0,8.0,True,organic,Cybersecurity
S-477506,A-f03140,Pro,False,1323,15876,annual,True,False,93.0,33007.0,6.0,9.0,9.0,True,event,DevTools
S-79a9e1,A-3a5ad8,Enterprise,True,0,0,annual,True,False,14.0,4036.0,0.0,2.0,2.0,False,organic,HealthTech
S-59dc4b,A-f17767,Pro,False,1274,15288,monthly,True,False,67.0,35026.0,6.0,6.0,6.0,True,event,DevTools
S-7acd8b,A-7920cc,Basic,False,741,8892,annual,True,False,66.0,15084.0,1.0,5.0,6.0,True,ads,Cybersecurity
S-428e9a,A-8ae3fc,Enterprise,True,0,0,monthly,True,False,37.0,15929.0,4.0,4.0,4.0,False,ads,DevTools
S-486088,A-0cc442,Pro,False,2205,26460,monthly,True,False,75.0,26351.0,2.0,6.0,8.0,True,organic,EdTech
S-13939b,A-86902e,Pro,True,0,0,monthly,True,True,91.0,27744.0,7.0,9.0,10.0,True,other,HealthTech
S-9333c5,A-ef84cf,Basic,False,152,1824,annual,False,True,50.0,18476.0,1.0,4.0,4.0,False,partner,EdTech
S-37e3ad,A-b30291,Basic,False,95,1140,monthly,True,False,19.0,5716.0,0.0,2.0,2.0,False,event,HealthTech
S-b17d04,A-e19ff6,Pro,False,392,4704,monthly,True,False,32.0,9121.0,6.0,4.0,4.0,False,partner,Cybersecurity
S-c27134,A-dec005,Pro,True,0,0,monthly,True,False,33.0,8840.0,2.0,3.0,3.0,False,partner,HealthTech
S-3bd427,A-2e3bad,Basic,False,1159,13908,monthly,True,True,29.0,8277.0,0.0,4.0,4.0,False,other,FinTech
S-82989b,A-f5641b,Basic,False,589,7068,monthly,True,False,35.0,11574.0,1.0,3.0,3.0,False,other,EdTech
S-082b15,A-aa9511,Enterprise,False,19303,231636,annual,True,False,15.0,4161.0,0.0,2.0,2.0,False,other,DevTools
S-434140,A-075038,Pro,False,833,9996,annual,True,False,77.0,23055.0,5.0,7.0,7.0,True,ads,HealthTech
S-c07ede,A-cea1f0,Pro,False,392,4704,annual,False,False,24.0,3954.0,1.0,2.0,2.0,False,event,FinTech
S-287914,A-a1b80b,Pro,False,784,9408,annual,True,False,67.0,15295.0,6.0,6.0,7.0,True,organic,HealthTech
S-b3bd43,A-b2225d,Pro,False,2450,29400,monthly,False,False,84.0,28144.0,8.0,9.0,9.0,True,ads,FinTech
S-4c82da,A-b9eed8,Pro,False,539,6468,monthly,False,False,59.0,14403.0,6.0,6.0,6.0,True,organic,Cybersecurity
S-c75159,A-bcf87c,Enterprise,False,6169,74028,monthly,True,True,73.0,20907.0,5.0,7.0,9.0,True,event,FinTech
S-b5643b,A-9f9299,Enterprise,False,5572,66864,annual,False,False,58.0,20209.0,6.0,6.0,7.0,True,organic,FinTech
S-49a9aa,A-10b8f2,Basic,False,969,11628,annual,True,False,21.0,1995.0,2.0,2.0,2.0,False,organic,HealthTech
S-2877e6,A-95b24a,Enterprise,True,0,0,monthly,True,False,59.0,17410.0,1.0,6.0,7.0,True,event,FinTech
S-8c10c1,A-0651a4,Enterprise,False,12935,155220,annual,True,False,49.0,13689.0,5.0,4.0,4.0,False,organic,HealthTech
S-d7d398,A-fb186e,Enterprise,True,0,0,annual,True,False,124.0,37040.0,3.0,10.0,12.0,True,organic,EdTech
S-ddad91,A-40906c,Enterprise,True,0,0,annual,False,False,89.0,26898.0,0.0,7.0,7.0,True,ads,EdTech
S-6762fa,A-40a557,Enterprise,False,3184,38208,annual,True,False,61.0,18545.0,2.0,6.0,6.0,True,partner,Cybersecurity
S-bb1cf1,A-3a5ad8,Enterprise,True,0,0,monthly,False,False,40.0,8803.0,3.0,4.0,5.0,False,organic,HealthTech
S-a805a5,A-2789e3,Basic,False,627,7524,monthly,True,False,53.0,15039.0,4.0,5.0,5.0,True,partner,FinTech
S-da0a69,A-49b828,Pro,False,294,3528,monthly,True,False,93.0,21277.0,6.0,8.0,8.0,True,ads,FinTech
S-59c5d7,A-c16b88,Basic,False,665,7980,monthly,True,False,70.0,17401.0,2.0,7.0,7.0,True,event,HealthTech
S-d3faae,A-5c9849,Basic,False,361,4332,monthly,True,False,0.0,0.0,0.0,0.0,0.0,False,partner,EdTech
S-73a4e4,A-993085,Pro,False,1519,18228,monthly,True,False,58.0,25109.0,4.0,6.0,6.0,True,ads,HealthTech
S-35c8a3,A-e4144b,Enterprise,False,8159,97908,annual,True,False,33.0,7866.0,1.0,4.0,4.0,False,other,EdTech
